temperatura,L,srednia_e_ukladu,srednia_magnetyzacja
12.9,20,-62.956,0.0482
13,20,-59.788,0.04666
13.1,20,-60.248,0.04551
13.2,20,-60.388,0.04591
13.3,20,-60.312,0.04617
13.4,20,-59.712,0.045765
13.5,20,-58.272,0.04444
13.6,20,-59.7,0.047255
13.7,20,-58.48,0.045865
13.8,20,-56.892,0.045965
13.9,20,-57.192,0.044255
14,20,-57.596,0.04521
14.1,20,-56.696,0.04638
14.2,20,-56.968,0.04665
14.3,20,-55.756,0.04745
14.4,20,-56.384,0.044705
14.5,20,-56.284,0.047605
14.6,20,-56.252,0.04648
14.7,20,-56.056,0.045155
14.8,20,-54.452,0.04582
14.9,20,-56.744,0.047495
