temperatura,L,srednia_e_ukladu,srednia_magnetyzacja
1,10,-199.72,0.99928
1.02,10,-199.68,0.99918
1.04,10,-199.564,0.99886
1.06,10,-199.496,0.99868
1.08,10,-199.432,0.99848
1.1,10,-199.336,0.99824
1.12,10,-199.32,0.9982
1.14,10,-199.22,0.99794
1.16,10,-199.124,0.9977
1.18,10,-198.976,0.99732
1.2,10,-198.772,0.99678
1.22,10,-198.62,0.99638
1.24,10,-198.444,0.99592
1.26,10,-198.24,0.99538
1.28,10,-198.156,0.99516
1.3,10,-197.916,0.99454
1.32,10,-197.652,0.9938
1.34,10,-197.476,0.99332
1.36,10,-197.292,0.99282
1.38,10,-197.032,0.99204
1.4,10,-196.628,0.99082
1.42,10,-196.232,0.98964
1.44,10,-195.68,0.98778
1.46,10,-195.508,0.98732
1.48,10,-195.212,0.98648
1.5,10,-194.888,0.9855
1.52,10,-194.524,0.98444
1.54,10,-194.108,0.98322
1.56,10,-193.684,0.98212
1.58,10,-193.048,0.98012
1.6,10,-192.42,0.9782
1.62,10,-191.752,0.97608
1.64,10,-191.552,0.97554
1.66,10,-190.96,0.97344
1.68,10,-190.524,0.97214
1.7,10,-189.196,0.96674
1.72,10,-188.764,0.96612
1.74,10,-187.72,0.96256
1.76,10,-186.572,0.95888
1.78,10,-185.912,0.95658
1.8,10,-185.06,0.95362
1.82,10,-184.22,0.95126
1.84,10,-182.944,0.9456
1.86,10,-181.324,0.93848
1.88,10,-180.168,0.93334
1.9,10,-179.004,0.92858
1.92,10,-177.712,0.92456
1.94,10,-176.964,0.9223
1.96,10,-175.644,0.91524
1.98,10,-174.888,0.91094
2,10,-172.676,0.89752
2.02,10,-171.452,0.89208
2.04,10,-168.108,0.86886
2.06,10,-167.616,0.86802
2.08,10,-166.876,0.8651
2.1,10,-166.256,0.87148
2.12,10,-164.896,0.86774
2.14,10,-162.396,0.85404
2.16,10,-160.488,0.84586
2.18,10,-155.776,0.8031
2.2,10,-152.48,0.78468
2.22,10,-151.92,0.7846
2.24,10,-149.636,0.76068
2.26,10,-148.644,0.77076
2.28,10,-143.248,0.71094
2.3,10,-141.668,0.69546
2.32,10,-136.216,0.6563
2.34,10,-133.148,0.63908
2.36,10,-130.984,0.61776
2.38,10,-128.172,0.59986
2.4,10,-127.332,0.58566
2.42,10,-122.772,0.53824
2.44,10,-118.076,0.48542
2.46,10,-119.972,0.53644
2.48,10,-115.308,0.48856
2.5,10,-112.26,0.46546
2.52,10,-112.668,0.47254
2.54,10,-115.6,0.52048
2.56,10,-111.8,0.47212
2.58,10,-108.7,0.45046
2.6,10,-105.684,0.40278
2.62,10,-100.388,0.3451
2.64,10,-102.912,0.38784
2.66,10,-102.244,0.41952
2.68,10,-99.812,0.3919
2.7,10,-97.96,0.37302
2.72,10,-98.44,0.3695
2.74,10,-94.32,0.32024
2.76,10,-93.896,0.33582
2.78,10,-92.776,0.33518
2.8,10,-91.44,0.30576
2.82,10,-89.908,0.3025
2.84,10,-88.14,0.28084
2.86,10,-89.096,0.32218
2.88,10,-88.78,0.3123
2.9,10,-84.968,0.2759
2.92,10,-86.452,0.29904
2.94,10,-82.296,0.26278
2.96,10,-86.832,0.32886
2.98,10,-83.376,0.29872
3,10,-82.44,0.28426
3,10,-82.44,0.28426
3.1,10,-78.644,0.2459
3.2,10,-76.072,0.26072
3.3,10,-70.952,0.22672
3.4,10,-67.452,0.21166
3.5,10,-65.504,0.193
3.6,10,-62.424,0.19218
3.7,10,-61.224,0.18066
3.8,10,-59.944,0.1723
3.9,10,-57.652,0.17152
4,10,-55.644,0.16502
4.1,10,-55.452,0.16202
4.2,10,-51.788,0.14854
4.3,10,-49.232,0.1486
4.4,10,-48.372,0.15584
4.5,10,-48.352,0.1368
4.6,10,-46.008,0.1381
4.7,10,-45.06,0.14376
4.8,10,-44.188,0.14592
4.9,10,-43.276,0.13404
5,10,-42.488,0.1382
5.1,10,-40.856,0.12808
5.2,10,-40.82,0.1373
5.3,10,-39.656,0.12918
5.4,10,-38.916,0.1291
5.5,10,-38.556,0.13266
5.6,10,-38.216,0.12534
5.7,10,-37.308,0.12148
5.8,10,-36.16,0.11972
5.9,10,-35.332,0.12278
6,10,-34.432,0.11756
