T,L,srednia_energie_ukladu,srednia_magnetyzacje
1.73,10,-188.24,0.96448
1.74,10,-187.72,0.96256
1.75,10,-187.288,0.96128
1.76,10,-186.572,0.95888
1.77,10,-186.376,0.95832
1.78,10,-185.912,0.95658
1.79,10,-185.432,0.9547
1.8,10,-185.06,0.95362
1.81,10,-184.72,0.95268
1.82,10,-184.22,0.95126
1.83,10,-183.636,0.94882
1.84,10,-182.944,0.9456
1.85,10,-182.148,0.94138
1.86,10,-181.324,0.93848
1.87,10,-180.612,0.93476
1.88,10,-180.168,0.93334
1.89,10,-179.712,0.93148
1.9,10,-179.004,0.92858
1.91,10,-177.984,0.92476
1.92,10,-177.712,0.92456
1.93,10,-177.176,0.9228
1.94,10,-176.964,0.9223
1.95,10,-176.676,0.9214
1.96,10,-175.644,0.91524
1.97,10,-175.252,0.91218
1.98,10,-174.888,0.91094
1.99,10,-174.228,0.90746
2,10,-172.676,0.89752
2.01,10,-172.12,0.89572
2.02,10,-171.452,0.89208
2.03,10,-170.6,0.88934
2.04,10,-168.108,0.86886
2.05,10,-167.54,0.86684
2.06,10,-167.616,0.86802
2.07,10,-166.652,0.86106
2.08,10,-166.876,0.8651
2.09,10,-165.624,0.85956
2.1,10,-166.256,0.87148
2.11,10,-165.788,0.87142
2.12,10,-164.896,0.86774
2.13,10,-162.552,0.8533
2.14,10,-162.396,0.85404
2.15,10,-162.12,0.85588
2.16,10,-160.488,0.84586
2.17,10,-157.132,0.81282
2.18,10,-155.776,0.8031
2.19,10,-155.516,0.80638
2.2,10,-152.48,0.78468
2.21,10,-152.036,0.78318
2.22,10,-151.92,0.7846
2.23,10,-152.248,0.7865
2.24,10,-149.636,0.76068
2.25,10,-147.896,0.75598
2.26,10,-148.644,0.77076
2.27,10,-144.88,0.73804
2.28,10,-143.248,0.71094
2.29,10,-144.128,0.7251
2.3,10,-141.668,0.69546
2.31,10,-142.464,0.72196
2.32,10,-136.216,0.6563
2.33,10,-133.824,0.6418
2.34,10,-133.148,0.63908
2.35,10,-135.544,0.6577
2.36,10,-130.984,0.61776
2.37,10,-125.464,0.55398
2.38,10,-128.172,0.59986
2.39,10,-127.532,0.58566
2.4,10,-127.332,0.58566
2.41,10,-124.296,0.56188
2.42,10,-122.772,0.53824
2.43,10,-119.688,0.5074
2.44,10,-118.076,0.48542
2.45,10,-120.364,0.51376
2.46,10,-119.972,0.53644
2.47,10,-119.016,0.5332
2.48,10,-115.308,0.48856
2.49,10,-112.292,0.44276
2.5,10,-112.26,0.46546
2.51,10,-111.564,0.4588
2.52,10,-112.668,0.47254
2.53,10,-109.44,0.44658
2.54,10,-115.6,0.52048
2.55,10,-113.304,0.48994
2.56,10,-111.8,0.47212
2.57,10,-107.944,0.42544
2.58,10,-108.7,0.45046
2.59,10,-107.02,0.43516
2.6,10,-105.684,0.40278
2.61,10,-101.512,0.3635
2.62,10,-100.388,0.3451
2.63,10,-107.828,0.44448
2.64,10,-102.912,0.38784
2.65,10,-100.984,0.38326
2.66,10,-102.244,0.41952
2.67,10,-98.9,0.38626
2.68,10,-99.812,0.3919
2.69,10,-99.196,0.39474
2.7,10,-97.96,0.37302
2.71,10,-99.252,0.4058
2.72,10,-98.44,0.3695
2.73,10,-95.696,0.3378
2.74,10,-94.32,0.32024
2.75,10,-93.144,0.32226
2.76,10,-93.896,0.33582
2.77,10,-94.688,0.35226
2.78,10,-92.776,0.33518
2.79,10,-92.416,0.33056
2.8,10,-91.44,0.30576
2.81,10,-92.204,0.31912
2.82,10,-89.908,0.3025
2.83,10,-91.704,0.34514
2.84,10,-88.14,0.28084
2.85,10,-87.776,0.29828
2.86,10,-89.096,0.32218
2.87,10,-88.992,0.31232
2.88,10,-88.78,0.3123
2.89,10,-88.82,0.3168
2.9,10,-84.968,0.2759
2.91,10,-86.328,0.297
2.92,10,-86.452,0.29904
2.93,10,-86.64,0.30416
2.94,10,-82.296,0.26278
2.95,10,-84.312,0.29208
2.96,10,-86.832,0.32886
2.97,10,-83.936,0.2949
2.98,10,-83.376,0.29872
2.99,10,-80.66,0.2464
3,10,-82.44,0.28426
3,10,-82.44,0.28426
3.1,10,-78.644,0.2459
3.2,10,-76.072,0.26072
3.3,10,-70.952,0.22672
3.4,10,-67.452,0.21166
3.5,10,-65.504,0.193
3.6,10,-62.424,0.19218
3.7,10,-61.224,0.18066
3.8,10,-59.944,0.1723
3.9,10,-57.652,0.17152
4,10,-55.644,0.16502
4.1,10,-55.452,0.16202
4.2,10,-51.788,0.14854
4.3,10,-49.232,0.1486
4.4,10,-48.372,0.15584
4.5,10,-48.352,0.1368
4.6,10,-46.008,0.1381
4.7,10,-45.06,0.14376
4.8,10,-44.188,0.14592
4.9,10,-43.276,0.13404
5,10,-42.488,0.1382
5.1,10,-40.856,0.12808
5.2,10,-40.82,0.1373
5.3,10,-39.656,0.12918
5.4,10,-38.916,0.1291
5.5,10,-38.556,0.13266
5.6,10,-38.216,0.12534
5.7,10,-37.308,0.12148
5.8,10,-36.16,0.11972
5.9,10,-35.332,0.12278
6,10,-34.432,0.11756
