T,L,srednia_energie_ukladu,srednia_magnetyzacje
1,10,-199.72,0.99928
1.01,10,-199.712,0.99926
1.02,10,-199.68,0.99918
1.03,10,-199.612,0.99898
1.04,10,-199.564,0.99886
1.05,10,-199.548,0.99882
1.06,10,-199.496,0.99868
1.07,10,-199.448,0.99852
1.08,10,-199.432,0.99848
1.09,10,-199.4,0.9984
1.1,10,-199.336,0.99824
1.11,10,-199.336,0.99824
1.12,10,-199.32,0.9982
1.13,10,-199.268,0.99806
1.14,10,-199.22,0.99794
1.15,10,-199.196,0.99788
1.16,10,-199.124,0.9977
1.17,10,-199.036,0.99748
1.18,10,-198.976,0.99732
1.19,10,-198.924,0.99718
1.2,10,-198.772,0.99678
1.21,10,-198.664,0.9965
1.22,10,-198.62,0.99638
1.23,10,-198.528,0.99614
1.24,10,-198.444,0.99592
1.25,10,-198.396,0.99578
1.26,10,-198.24,0.99538
1.27,10,-198.2,0.99528
1.28,10,-198.156,0.99516
1.29,10,-198.056,0.9949
1.3,10,-197.916,0.99454
1.31,10,-197.788,0.99418
1.32,10,-197.652,0.9938
1.33,10,-197.548,0.9935
1.34,10,-197.476,0.99332
1.35,10,-197.38,0.99304
1.36,10,-197.292,0.99282
1.37,10,-197.148,0.99238
1.38,10,-197.032,0.99204
1.39,10,-196.704,0.99104
1.4,10,-196.628,0.99082
1.41,10,-196.464,0.99028
1.42,10,-196.232,0.98964
1.43,10,-195.796,0.9881
1.44,10,-195.68,0.98778
1.45,10,-195.632,0.98766
1.46,10,-195.508,0.98732
1.47,10,-195.384,0.987
1.48,10,-195.212,0.98648
1.49,10,-195.112,0.98618
1.5,10,-194.888,0.9855
1.51,10,-194.772,0.9852
1.52,10,-194.524,0.98444
1.53,10,-194.244,0.98358
1.54,10,-194.108,0.98322
1.55,10,-193.864,0.9826
1.56,10,-193.684,0.98212
1.57,10,-193.384,0.98116
1.58,10,-193.048,0.98012
1.59,10,-192.636,0.9788
1.6,10,-192.42,0.9782
1.61,10,-192.02,0.97692
1.62,10,-191.752,0.97608
1.63,10,-191.664,0.97584
1.64,10,-191.552,0.97554
1.65,10,-191.104,0.97388
1.66,10,-190.96,0.97344
1.67,10,-190.772,0.9729
1.68,10,-190.524,0.97214
1.69,10,-189.84,0.969
1.7,10,-189.196,0.96674
1.71,10,-189.164,0.96726
1.72,10,-188.764,0.96612
